provider_family,model_name,model_id,sample_index,sample_id,extracted_persona_rows,yes_count,selection_status,selected_persona_id,names
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,0,Qwen__Qwen2_5_1_5B_Instruct__sample_000,3,1,selected,P2,"Emily, Amir, Maya"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,1,Qwen__Qwen2_5_1_5B_Instruct__sample_001,3,1,selected,P2,"Emily, Amir, Maya"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,2,Qwen__Qwen2_5_1_5B_Instruct__sample_002,3,1,selected,P2,"Alex, Maya, Jake"
Mistral,Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.1,0,mistralai__Mistral_7B_Instruct_v0_1__sample_000,3,1,selected,P3,"Ava Patel, Kofi Adeyemi, Sofia Rodriguez"
Mistral,Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.1,1,mistralai__Mistral_7B_Instruct_v0_1__sample_001,3,1,selected,P3,"Aisha Ali, Samantha Kim, Ahmed Patel"
Mistral,Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.1,2,mistralai__Mistral_7B_Instruct_v0_1__sample_002,3,1,selected,P3,"Ava Patel, Nguyen Nguyen, Zainab Ahmed"
Google-Gemma,gemma-2-2b-it,google/gemma-2-2b-it,0,google__gemma_2_2b_it__sample_000,3,1,selected,P1,"Amina, Daniel, Zara"
Google-Gemma,gemma-2-2b-it,google/gemma-2-2b-it,1,google__gemma_2_2b_it__sample_001,3,1,selected,P1,"Aisha Abdul-Karim, Liam Miller, Maya Sharma"
Google-Gemma,gemma-2-2b-it,google/gemma-2-2b-it,2,google__gemma_2_2b_it__sample_002,3,1,selected,P3,"Amina Khan, David Lee, Anya Rodriguez"
Falcon,Falcon3-1B-Instruct,tiiuae/Falcon3-1B-Instruct,0,tiiuae__Falcon3_1B_Instruct__sample_000,3,1,selected,P1,"Amara Patel, Noah Rivera, Sofia Martinez"
Falcon,Falcon3-1B-Instruct,tiiuae/Falcon3-1B-Instruct,1,tiiuae__Falcon3_1B_Instruct__sample_001,3,1,selected,P2,"Sofia, Hiroshi, Amina"
Falcon,Falcon3-1B-Instruct,tiiuae/Falcon3-1B-Instruct,2,tiiuae__Falcon3_1B_Instruct__sample_002,3,1,selected,P3,"Amina, Leo, Sofia"
Microsoft-Phi,Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,0,microsoft__Phi_3_mini_4k_instruct__sample_000,3,1,selected,P3,"Amina Patel, Carlos Mendoza, Emily Johnson"
